Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-A1_1_12125.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-B1_1_12126.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-C1_1_12127.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-D1_1_12128.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-E1_1_12129.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-F1_1_12130.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-G1_1_12131.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-H1_1_12135.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-A5_1_12136.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-B5_1_12137.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-C5_1_12138.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-D5_1_12139.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-E5_1_12140.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-F5_1_12141.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-G5_1_12142.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-H5_1_12143.d
P38165	RTG3_YEAST	RTG3	Retrograde regulation protein 3	2	2	6454.67	7683.16	6168.16	6213.32	5930.24	8008.71	8547.54	6205.01			4327	2812.79		5028.23	3392.28	4573.06
P38166	SFT2_YEAST	SFT2	Protein transport protein SFT2	2	2	25064.6	18712.1	20179.9	27639.6	21178.5	23130.3	21098.5	25249.7	12054.8	12696.3	11293.4	13487.8	9482.69	9155.5	10102.9	10605.1
P38167	ECM21_YEAST	ECM21	Protein ECM21	5	5	51216.8	53144.9	51513.3	56460.9	62536.1	63036.8	54190.5	55992.2	33290.8	33086.6	23340.4	21751	24944	28822.8	18982.9	23612.2
P38174	MAP2_YEAST	MAP2	Methionine aminopeptidase 2	8	8	55191.3	53196.2	53742.2	54132.1	53668.1	55704.5	56132.5	48538.1	21733.7	21970.2	21271.5	23105.7	22895	21528.6	21108.1	24091.1
P38177	YBI6_YEAST	YBL086C	Uncharacterized protein YBL086C	2	2	14159	14202.9	9520.59	11056.4	8612.84	11781.9	11206.6									
P38181	NU170_YEAST	NUP170	Nucleoporin NUP170	11	11	13349	14743.5	17499.6	12822.7	14318.5	14819.4	15383.4	15284.6	7046.8	8395.49	6108.96	7452.42	6583.44	6834.22	6944.76	6513.76
P38182	ATG8_YEAST	ATG8	Autophagy-related protein 8	3	3	24723	28092.5	33205.8	29424.9	30839.8	31988.7	33669	25224.2	11978.5	13108.6	15238.8	15052.5	17049.7	14094.8	17346.6	16210.5
P38187	UBP13_YEAST	UBP13	Ubiquitin carboxyl-terminal hydrolase 13	2	2	4639.78	7612.73	6010.94	6660.08	7074.86	5324.32	7264.49	7335.22					4292.6	4235.54		3478.32
P38193	PP4R2_YEAST	PSY4	Serine/threonine-protein phosphatase 4 regulatory subunit 2	1	1				1386.69		1594.35		1503.48				790.869				
P38197	PLPHP_YEAST	YBL036C	Pyridoxal phosphate homeostasis protein	10	10	39967.1	45188.9	47751	46538.2	49836.7	46341	44744.8	45805.6	21044	20956.9	21528.3	22067.6	22178.6	21594.1	22102.7	21126.6
P38199	HEK2_YEAST	HEK2	Heterogeneous nuclear rnp K-like protein 2	8	8	48405	47004.2	47689.6	53764.2	54525.4	47947.1	47344.3	48557.4	21500.8	24864.9	22129.9	19860.9	26017.2	21140.7	27220.7	25784
P38203	LSM2_YEAST	LSM2	LSM complex subunit LSM2	4	4	18586.3	23971.3	25946.2	24187.7	26805.3	26527.4	26224.8	30204.8	10713.2	10740.3	9584.73	12803.7	10220.4	13871.5	10031.7	9172.71
P38205	NCL1_YEAST	NCL1	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase	21	21	49499.6	51529	50031.1	52656.6	52154.4	49991.7	52243.4	48720.3	24811.7	24982.7	23748.9	24690.9	23640.1	22029.7	23384.5	23164.1
P38210	LDB7_YEAST	LDB7	Chromatin structure-remodeling complex protein RSC14	1	1		3000.85	3297.31	4788.03	4054		3722.84	3811.59		2442.17		2302.64				2921.9
P38216	CTPP1_YEAST	CPP1	Lipid-anchored plasma membrane protein CPP1	1	1	10093.4	11913.7	11765.6	11385.9			12963.6	10866.5		7032.47	3700.16					
P38217	IMB2_YEAST	KAP104	Importin subunit beta-2	7	7	69804	70787.6	70256	67872.6	67295.1	69309.5	60944.1	60162	30268.7	31123.8	32761.8	31836.8	29420.1	27421.9	29233.8	34648
P38218	POA1_YEAST	POA1	ADP-ribose 1''-phosphate phosphatase	2	2	14708.6	20502.8	19372.9	17651.8	19230.2	18566.9	18997.9	18657.1	9061.46	6732.99	7357.52	6886.72	9969.81	8687.96	10257.5	7192.05
P38219	OLA1_YEAST	OLA1	Obg-like ATPase 1	22	22	271299	285337	283973	267908	283261	287231	270272	270951	123215	119341	122406	122586	120778	123086	118740	122097
P38221	CDS1_YEAST	CDS1	Phosphatidate cytidylyltransferase	5	5	30280.8	30613.6	27710.6	29240.1	25333.8	26865.3	25191.4	28773.3	14800	18333.1	15721.3	9706.3	13281.3	12179.6	18251.7	15080.4
P38225	FAT1_YEAST	FAT1	Very long-chain fatty acid transport protein	3	3	28514.7	22860.5	22296.1	22382.5	23531.2	19993.3	21725.1	23838.2	8941.67	8648.22			9258.93	11338.7	5793.61	8025.73
P38226	CST26_YEAST	CST26	2-acyl-1-lysophosphatidylinositol acyltransferase	3	3	4557.88	9580.32	7117.34	7121.21	6262.87	7140.64	8308.15	7593.05	3270.48		3106.91	4142.01	4028.9	4175.19	4008.37	4906.82
P38230	QOR_YEAST	ZTA1	Zeta-crystallin	11	11	37013	41780.6	39092.1	37991.7	40772.8	40109.7	38814.7	37831.3	18136.5	16519.7	16243.5	15970.2	18596.6	16028.6	15889.8	18191.7
P38234	RFS1_YEAST	RFS1	Protein RFS1	4	4	39418.2	36556.7	26581	36791.8	29459.3	30323.9	41958.7	37563.9	20257.1	18377	20444.3	20216.1	17432.5	18961.6	17908.4	16728.9
P38235	YBQ3_YEAST	YBR053C	Uncharacterized protein YBR053C	8	8	147213	136086	150597	145642	152920	163152	160303	159805	81823.2	73895.2	65222.4	83318.8	73458.8	75209.5	79606.3	73869.5
P38236	FL2D_YEAST	MUM2	Protein MUM2	1	1	4859.5	8144.48	7938.33	9756.79	8030.21	6731.69	9618.51	9112.24	4666.15	5236.93	6798.92	5016.51	5021.65		4290.89	4822.23
P38237	UBP14_YEAST	UBP14	Ubiquitin carboxyl-terminal hydrolase 14	5	5	21941.4	23955.8	23781.4	20787.5	22293	20887.3	22988.5	26901.9	9714.96	11521	11604	11172.2	11248.4	11900.3	11725	10080.7
P38238	TRM7_YEAST	TRM7	tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase	1	1	16492.8	20439	24506.2	16084.5	16379.9	19478	19981.2	18720	9879.32	9223.3	9601.49	9868.48	8047.84	9087	8471.78	9979.4
P38247	SLM4_YEAST	SLM4	Protein SLM4	2	2	53654	50785.8	52328.2	51561.7	51100.5	49813.3	53760.7	56913.7	23520.2	22668.5	23990	22621.3	24568.8	27347.4	24946.9	28307.1
P38248	ECM33_YEAST	ECM33	Cell wall protein ECM33	3	3	414781	429880	434972	435445	456559	483933	446741	472244	206202	207325	206975	213273	201597	211013	217912	220700
P38249	EIF3A_YEAST	RPG1	Eukaryotic translation initiation factor 3 subunit A	36	36	231638	237670	234524	239824	235132	235733	230627	232024	106476	104744	105419	109259	106582	105503	106570	106346
P38250	IST2_YEAST	IST2	Increased sodium tolerance protein 2	10	10	58126.2	69514.1	65628	61390.5	63952.8	62839.9	62948.8	68893.7	31006.6	27508.3	26455	27354.6	31109.7	28457.1	27814.8	30528.3
P38251	RFC5_YEAST	RFC5	Replication factor C subunit 5	2	2	24498.1	24604.6	22158.9	26467.3	26812	31116.4	28697.3	23524.8	16371.9	16535.7			16258.9			
P38254	TTL_YEAST	PBY1	Probable tubulin--tyrosine ligase PBY1	9	9	34936.2	35984.3	36174.4	39456.8	36921.2	36990.7	38428.4	34962.7	20583.3	18526.9	19073.5	18864.4	19124.4	20532.4	17792.2	19072.7
P38255	RXT2_YEAST	RXT2	Transcriptional regulatory protein RXT2	1	1	4262.05	4180.5	5548.98	4446.15	4381.81	5130.98	4078.92	3531.6	2232.12	5002.59	2489.14	1628.04	3203.3	1825.87	1573.37	1940.24
P38256	YBU6_YEAST	YBR096W	Probable thioesterase YBR096W	2	2	41264.6	46890.4	41868.3	47512.6	43937.3	48012.1	48093.7	41849.7	20455.3	18203.8	19191.4	22441.8	21309.2	20802.4	22236.6	19455.7
P38260	FES1_YEAST	FES1	Hsp70 nucleotide exchange factor FES1	8	8	34170.7	33823	31973.2	33573.4	34030.8	32743	36820.5	33722.9	17712.5	15122.6	18436.2	17862.9	16516.6	16940.5	15488.8	16021.6
P38261	EXO84_YEAST	EXO84	Exocyst complex component EXO84	4	4	318371	378103	406746	364882	392785	342049	360074	363746	171187	252760	204825		229429	218949	176798	218237
P38262	SIF2_YEAST	SIF2	SIR4-interacting protein SIF2	2	2	4931.92	7502.27	6657.22	4670.31	7017.97	5946.07	6117	6234.49	3897.08	3322.03	4291.01	2413.81	2396.94	3453.83	3743.73	4175.38
P38264	PHO88_YEAST	PHO88	SRP-independent targeting protein 3	7	7	431395	418007	417467	442324	402674	414679	433780	440953	195434	207623	204960	201679	208311	193883	197882	205313
P38266	AIM3_YEAST	AIM3	Altered inheritance of mitochondria protein 3	2	2	14360	14374	12596.4	13885.6	15181.4	15662.8	13894.6	14170.5	5401.64	5577.06	5740.23	4367.74	6345.04	6035.08	6663.3	6423.4
P38271	OPY1_YEAST	OPY1	Pleckstrin homology domain protein OPY1	3	3		3749.11	5705.23	5917.92	3284.98	4205.45	3879.85	5937.33			1702.58			3473.25	2336.58	1684.24
P38272	SHE3_YEAST	SHE3	SWI5-dependent HO expression protein 3	6	6	18983	21148.7	22366	19817.7	18860.1	21567.8	20636.5	20707.6	10335.8	10960.4	9865.56	8029.2	8071.64	10505.5	8829.16	9889.93
P38276	YBY7_YEAST	YBR137W	UPF0303 protein YBR137W	7	7	24404.3	21868.8	22152.7	26791	23130	26675	26984.3	25734.2	12652.7	14017.7	14018.6	14087.2	12485	13190	14205.8	15867.2
P38281	APD1_YEAST	APD1	Actin patches distal protein 1	3	3	21272.2	19995.7	19484	20119.6	20550.1	18187.1	19701.3	18383.1	9287.94	9574.96	9265.96	8614.49	10671	8926.5	9280.1	9762.46
P38286	MKAR_YEAST	IFA38	Very-long-chain 3-oxoacyl-CoA reductase	4	4	65571.4	64474.8	63232.2	65578.7	63630.6	62515.1	62850.1	67072.6	30158.5	29023.9	31877	35988.2	31822.2	33745.4	34050.7	31413
P38288	TOS1_YEAST	TOS1	Probable circularly permuted 1,3-beta-glucanase TOS1	5	5	40533.8	39508	39755.3	38149.1	40294.2	38352.9	43577.8	39366.7	15925.9	18578.3	14491.8	18211.8	16792.3	16246.5	20176.6	17816.4
P38295	MCFS2_YEAST	EHT1	Medium-chain fatty acid ethyl ester synthase/esterase 2	14	14	134626	126459	131707	133873	124696	122056	123263	127516	58395.4	61460.8	60331.9	62628.4	62097.3	62211.9	61620.8	61298.2
P38301	GDT1_YEAST	GDT1	Divalent cation/proton antiporter GDT1	1	1	18896	15606.4	16648.3	16388.7	16945.9	16346	19937.6	19513.1	7756.36	9779.84	8097.94	7713.82	8127.96	10064.1	7359.02	10811.8
P38302	NTC20_YEAST	NTC20	Pre-mRNA-splicing factor NTC20	2	2	14569	13761.6	13564	13743	14059.3	17881.4	12040.6	12318.2	5173.77			5941.93			4881.4	6504.16
P38306	YB47_YEAST	YBR197C	Uncharacterized protein YBR197C	1	1	4483.94	5166.74	5394.21	5674.03	7122.57	6149.71	7126.14	7048.06	3625.82		4205.15	2650.69				4313.95
P38310	FTH1_YEAST	FTH1	Iron transporter FTH1	2	2	11457.2	8356.82	9478.8	12649	7684.3	9222.73	10776.6	9122.51	10796.3	10824.7	8224.25	9596.36	7806.71			8533.52
P38314	SDS24_YEAST	SDS24	Protein SDS24	5	5	19979	20434.1	19154.2	22294.5	20065.2	21121.6	20787.4	18557.1	7929.56	9228.9	9127.54	9715.09	10165.2	11360.5	9899.98	8935.52
P38315	YBP1_YEAST	YBP1	YAP1-binding protein 1	4	4	26929.7	24603.3	28708.7	28672.8	26741	27560.5	26246.1	25636.2	6642.29	11859.1	11776.5	8696.48	11376.6	13958.1	11043.8	9584.34
P38321	YB75_YEAST	YBR225W	Uncharacterized protein YBR225W	3	3	4337.2	8973.8	12454.9	11203.7	8581.95	9181.6	7517.22	8446.75	2835.22	3496.4	3378.27	4134.52	4707.82	2453.95		3364.95
P38323	CLPX_YEAST	MCX1	ATP-dependent clpX-like chaperone, mitochondrial	5	5	84101.6	82103.1	77132.3	82498	79726	81343.3	86026.8	64933.8	36903.9	30927.4	26808.1	28718.4	43207.8	39738.3	40142.6	44120.5
P38325	OM14_YEAST	OM14	Mitochondrial outer membrane protein OM14	1	1	44215.4	43014.1	42198.4	36304.3	36388.5	37959.1	43540.2	67175	20350.4	27464.1	22323	26635.4	24966.1	18479.2	22429.2	20902.4
P38328	ARPC1_YEAST	ARC40	Actin-related protein 2/3 complex subunit 1	3	3	81284.6	89620.9	93398.9	76806.1	83092.4	80446	90776.5	89480.2	45385.7	45472.1	49701.8	48824.3	34605.1	54107.9	45601.4	53230.3
P38333	ENP1_YEAST	ENP1	Essential nuclear protein 1	7	7	23690	25087.8	21976.7	22362.4	25714.2	22743.2	22304.2	25705.6	10760.3	11716.4	9561.59	10594.9	11093.6	10129.7	10305.3	12174.3
P38339	RGD1_YEAST	RGD1	RHO GTPase-activating protein RGD1	9	9	46624.7	44158.8	41949.8	41504.2	48563.2	43302.5	42114	50393	25675.7	23995.7	27341.9	32645.4	25407.8	26166	26778.7	23024.7
P38340	NTM1_YEAST	TAE1	Alpha N-terminal protein methyltransferase 1	4	4	32729.3	36119.4	31690.4	33789.5	31545	33174.8	27423.9	34578.6	18686.2	15961.8	14475.1	17727.3	15619.8	15412.7	15735.6	14003.9
P38349	UBX7_YEAST	UBX7	UBX domain-containing protein 7	1	1	24197.2	24224.9	21820.4	25308.1	25622	28281.9	28828.5	24869.8	11833	12806.2	10585.8	11913.1	12629.7	10349.7	10760.9	13207.6
P38351	PAF1_YEAST	PAF1	RNA polymerase II-associated protein 1	7	7	45796.4	53196.7	46233.8	49985.3	50975.1	52715.2	48073.4	47564.4	27951.2	26725.2	34243.2	26868.8	27095.4	29686.8	32677	32421.4
P38352	SAF1_YEAST	SAF1	SCF-associated factor 1	5	5	13180.6	10933.1	9719.18	11075.2	11494.2	9829.89	12583.6	9009.66	5972.51	5778.42	5304.86	5645.27	5283.78	5056.03	5288.48	5924.85
P38353	SSH1_YEAST	SSH1	Sec sixty-one protein homolog	4	4	38508.3	38843.8	36641.6	48509.8	46306.5	51226.2	44432.2	42723.4	21523.3	19262	22071.1	22524.7	21575.8	23151.2	17334.1	23891.4
P38398	BRCA1_HUMAN	BRCA1	Breast cancer type 1 susceptibility protein	9	9	21292.9	19840.2	19867.4	19334.7	25936.5	21498.8	17972.8	22605.6	18799.6	20543	15504.3	17757.3	20067.6	20543.9	20030.4	17906.1
P38426	TPS3_YEAST	TPS3	Trehalose synthase complex regulatory subunit TPS3	20	20	53544.7	51966	49535.6	55316.2	49809.9	52705.4	54965.4	54626.8	24134.1	24837.1	25222.6	25301.4	24086.8	25437.1	23740.1	25441.3
P38427	TSL1_YEAST	TSL1	Trehalose synthase complex regulatory subunit TSL1	31	28	328402	325167	334658	332527	330106	333942	338189	323675	150122	151069	153574	151397	150713	145568	149640	152961
P38428	CUE1_YEAST	CUE1	Coupling of ubiquitin conjugation to ER degradation protein 1	6	6	24335.4	23192	23197.5	24807.1	25766.3	25874.6	25713.7	27988.7	15001.9	14093.7	15292.8	14821.2	13788.7	14580.9	14642.2	15883.4
P38431	IF5_YEAST	TIF5	Eukaryotic translation initiation factor 5	20	20	156935	153816	150201	151584	153622	153060	150250	148845	65028.2	67897.8	68650.2	69184.8	70772.6	69861.6	69536.8	72054.5
P38432	COIL_HUMAN	COIL	Coilin	16	16	85939.4	92189.4	88023.6	84065	85099.3	86616.3	87775.7	86806.7	83524.5	80431.4	82139.1	82381.5	81380.8	82356.2	81447.2	83060.2
P38439	LEO1_YEAST	LEO1	RNA polymerase-associated protein LEO1	6	6	18426.4	19449	17267	18950.7	17743.3	15556.6	19378.1	16424.4	10549.1	9654.05	7195.03	10204.1	8919.76	10801.5	8668.09	9466.75
P38489	NFSB_ECOLI	nfsB	Oxygen-insensitive NAD(P)H nitroreductase	10	10	95862.2	101746	95918.3	101460	98919.7	100985	97576.8	97827.5	356454	369434	360982	369385	361868	367776	362775	369835
P38506	XNI_ECOLI	ygdG	Flap endonuclease Xni	5	5	14754.1	19716.9	23250.8	14734.7	18515.5	19843.6	18652.7	22888.2	61595.2	55309.3	54307	61077.3	60933.9	55066.1	54850.4	68756.4
P38521	YGGL_ECOLI	yggL	Ribosome assembly factor YggL	4	4	39390.9	47299.7	53887.7	38041.8	48015.6	51466.5	42297.1	60129	175292	172865	186112	194063	201879	207158	195259	195288
P38523	GRPE_YEAST	MGE1	GrpE protein homolog, mitochondrial	8	8	180011	176439	170825	169525	173518	175988	177315	178506	78200.5	80755.2	74225.5	79109.5	72651.2	75400	76514.8	74966.5
P38555	YPT31_YEAST	YPT31	GTP-binding protein YPT31/YPT8	12	6	284232	293155	290443	288076	280994	282203	282559	284460	176682	180336	195153	182819	182303	179342	180996	187292
P38604	ERG7_YEAST	ERG7	Lanosterol synthase ERG7	1	1	6467.52			8436.94	8191.28	6420.66	9224.49	8202.25			4270.75			2585.64		
P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	29	29	258133	262678	259862	280653	267650	261731	272281	251946	274436	258034	277520	286923	275597	272486	279106	278593
P38615	RIM11_YEAST	RIM11	Serine/threonine-protein kinase RIM11/MSD1	2	2	48010.1	44050	50533.9	18685.2	47781	47672.9	37659.7	42806.7	25539.1		23479.1		13794.2		20634.3	
P38616	YGP1_YEAST	YGP1	Protein YGP1	6	6	546476	491985	498096	482425	499158	479651	463350	496160	232501	233148	218676	214025	208886	209595	216575	216292
P38620	KPR2_YEAST	PRS2	Ribose-phosphate pyrophosphokinase 2	6	4	35669.1	40430.6	38239.9	40283.9	40537	42521.1	37122.8	38584.3	18097.9	18892.8	16626.2	17557.5	15573.1	16620.9	20802.3	17597.4
P38623	RCK2_YEAST	RCK2	Serine/threonine-protein kinase RCK2	8	8	24821	31801	29509.6	28027.4	30587.9	27425.6	29324.6	32574.3	12343.4	11815.6	11329.4	13443.5	13085.8	13288.3	14265	15762.5
P38624	PSB1_YEAST	PRE3	Proteasome subunit beta type-1	7	7	112470	107142	118027	116188	105900	109796	113527	95685.6	50003.2	44613.2	45846.7	49916.4	52094.7	46911.7	45854.8	49473.1
P38625	GUAA_YEAST	GUA1	GMP synthase [glutamine-hydrolyzing]	22	22	283224	284052	293512	294164	276987	291551	277738	284348	139777	136653	136090	138515	141609	133305	137575	141594
P38626	NCB5R_YEAST	CBR1	NADH-cytochrome b5 reductase 1	12	12	110738	120083	123128	116035	122898	123922	122741	112409	52392.9	59503	62782.1	56811.6	61027.3	58816.8	59771	57430.2
P38627	URA8_YEAST	URA8	CTP synthase 2	15	15	47895.1	46141.2	44952.6	46870.1	47100.4	50011.5	47325.6	49967.1	22474.5	23310	22855	24953.1	22869.8	22443.3	22404.7	23173.5
P38628	AGM1_YEAST	PCM1	Phosphoacetylglucosamine mutase	13	13	58791.9	61936.3	65770.2	62792.7	65821.6	65556.4	64082.4	63332.1	26901.1	27344.9	28618.4	29804.6	28414.4	28429	30926.2	29032.7
P38629	RFC3_YEAST	RFC3	Replication factor C subunit 3	10	10	16372.8	15504.9	17414.1	16323.3	16925.8	18031.3	16473.7	21771.7	9583.97	9500.42	9012.69	9353.3	9520.07	9826.17	8762.69	8785.7
P38630	RFC1_YEAST	RFC1	Replication factor C subunit 1	11	11	20137.9	23658.4	21160.1	21027.5	24807.8	22207.9	23298.5	21557.1	11924	10761.1	9041.58	10476.9	10447.2	10284.6	10508.9	10745.9
P38631	FKS1_YEAST	FKS1	1,3-beta-glucan synthase component FKS1	3	3	15019.9	16813.3	15796.1	17139.7	20063.5	23762.7	19907.1	16868.3	9695.46	8450.64	5540.65	10860.8	8211.44	9340.87	7348.31	8381.47
P38634	SIC1_YEAST	SIC1	Protein SIC1	2	2	103018	83676	95333.9	104491	94272.4	93256.1	98665.6	107359		76249.1			69450.8		72747	71039.2
P38646	HSPA9_HUMAN	HSPA9	Stress-70 protein, mitochondrial	54	53	1.26406e+06	1.2074e+06	1.25242e+06	1.27903e+06	1.2633e+06	1.23299e+06	1.27657e+06	1.23267e+06	1.25309e+06	1.25845e+06	1.29049e+06	1.32273e+06	1.25888e+06	1.25721e+06	1.2754e+06	1.28668e+06
P38682	GLO3_YEAST	GLO3	ADP-ribosylation factor GTPase-activating protein GLO3	7	7	59139.7	59876.1	64509.8	56412.5	59464.1	62646.6	56212.8	57729.6	26733.8	25405.5	27366.5	24843.3	25786.7	26872.2	27062.5	27761.9
P38687	SRP68_YEAST	SRP68	Signal recognition particle subunit SRP68	15	15	51792.5	57059.4	53546.5	50085.9	56504.2	58799.7	59201.5	64249.9	33699.9	35350.7	33025	34255.2	34163.7	32345.4	34723.1	33414.9
P38688	SRP72_YEAST	SRP72	Signal recognition particle subunit SRP72	9	8	38816.3	44745.1	41432.2	41177.1	38270.9	39763.9	39930.2	40349.4	22026.6	18692.7	21526.5	22543.8	18140.5	19632.5	22513.8	22740.7
P38689	KPR3_YEAST	PRS3	Ribose-phosphate pyrophosphokinase 3	12	11	88226.3	91862.4	96762.8	91311.5	92830.5	95475.1	92409.1	97693.8	43589.8	42754.4	42010.7	40856.3	41987.4	42549.5	42025.6	43832.4
P38691	KSP1_YEAST	KSP1	Serine/threonine-protein kinase KSP1	8	8	12958.5	14574.2	14338.1	16266.3	17126.2	17927.7	17321.8	16976	10230.9	10487.5	9992.87	9868.27	10253.6	9104.88	8518.83	9028.17
P38692	KIC1_YEAST	KIC1	Serine/threonine-protein kinase KIC1	3	3	4427.17	4067.76	3759.04	3575.68	4366.61	4559.18	5169.97	3703.68		2323.38	2985.83	2179.18		3089.7	2241.08	2128.56
P38694	MSC7_YEAST	MSC7	Putative aldehyde dehydrogenase-like protein YHR039C	12	12	52463.9	48693.6	52678.8	53009.3	48712.6	51886.6	50553.7	53335.6	25086.5	23084.5	23430.6	24213.3	24866.4	24434.6	23491.4	25402.1
P38695	HXT5_YEAST	HXT5	Probable glucose transporter HXT5	3	3	50337.3	48770	55368.5	44912.3	46335.5	46886.7	41230.8	45516.2	27110.5	27837.2	28734.1	32863.8	30352.4	31311.9	27591	34775.5
P38698	PPX1_YEAST	PPX1	Polyphosphatase	3	3	31202.7	34356.5	29620.3	30004.1	29927.5	31504.7	31201.2	35551.6	17645	11515.2	12467.8	15630.6	13210.8	11287	13527.5	13600.6
P38701	RS20_YEAST	RPS20	Small ribosomal subunit protein uS10	11	11	1.46277e+06	1.53236e+06	1.54281e+06	1.57505e+06	1.58833e+06	1.56862e+06	1.54549e+06	1.54528e+06	671351	670206	682978	705584	681660	684115	693105	692025
P38703	LAG1_YEAST	LAG1	Ceramide synthase LAG1	2	2	51978.5	50233.3	54895.4	58434.4	54457.1	57175	59340.2	46503.1	23140.5	23057.3	19798.5	22749.6	25109	25382.8	25519.1	24002.5
P38707	SYNC_YEAST	DED81	Asparagine--tRNA ligase, cytoplasmic	19	19	188821	185191	191603	198549	187554	194005	196207	199754	89288.2	85483.2	89132.7	90591.5	90552.4	91101.3	87252.5	88879.9
P38708	YHI0_YEAST	YHR020W	Putative proline--tRNA ligase YHR020W	30	30	155436	149208	148385	165029	149829	147667	169223	154751	76479.6	75164.7	79438.1	82183.4	73748.2	74394	72023.5	76628.8
P38710	INM1_YEAST	INM1	Inositol monophosphatase 1	5	5	21478.3	29653.7	21417.1	25402.9	23750.2	22396.1	21825.1	21115.2	9995.43	8952.38	10911.7	10183.4	11047.2	13313.2	11158.2	9291.4
P38712	RRP3_YEAST	RRP3	ATP-dependent rRNA helicase RRP3	5	5	14978.2	13827.3	11766.2	10681.9	11822	11319.5	10967.2	12076.1	6050.79	6140.54	7127.25	5281.68	8206.95	6040.16	6471.38	6549.79
P38713	OSH3_YEAST	OSH3	Oxysterol-binding protein homolog 3	8	8	11721	11676	13198.7	12488.5	11951.3	12374.4	13179.6	12528.9	6517.73	2719.12	6188.55	6793.25	3476.57	5502.14	6516.29	6062.86
P38715	GRE3_YEAST	GRE3	NADPH-dependent aldose reductase GRE3	22	22	387493	400448	393367	389152	388865	381079	394820	399358	181892	177381	174512	184932	174353	184177	185160	179582
P38716	YHR2_YEAST	YHR112C	Uncharacterized trans-sulfuration enzyme YHR112C	4	4	18155.1	21218.6	20654.7	19927.4	19850	20332.4	18826.9	19882.8	10179.2	9429.13	8573.3	9384.32	9686.62	7353.74	9877.38	10736.6
P38719	DBP8_YEAST	DBP8	ATP-dependent RNA helicase DBP8	1	1	4895.85	4040.84	5029.93	2467.64	5112.85	8297.7	6280.11	4903.36	2792.95		2041.8	2935.97		2624.37		2312.67
P38720	6PGD1_YEAST	GND1	6-phosphogluconate dehydrogenase, decarboxylating 1	23	18	688745	688326	687844	678082	692496	666859	665142	630156	286723	300611	305785	300349	304376	297397	285034	305608
P38732	EFM1_YEAST	EFM1	Protein-lysine N-methyltransferase EFM1	4	4	7483.99	9977.04	8195.18	8899.23	7634.8	7881.61	7605.56	7758.75	3465.96	3480.67	2999.36	5090.74	4006.25	3735.98	2613.26	3770.98
P38736	GOSR1_YEAST	GOS1	Golgi SNAP receptor complex member 1	4	4	104964	110410	107591	97205.2	100593	117182	107380	111562	58607.4	51879.2	52077.9	53076.2	59444.4	60779.9	50973.4	56132.3
P38737	ECM29_YEAST	ECM29	Proteasome component ECM29	13	13	15838.8	20385.2	19286	15925.8	19606.5	18841.9	17853.7	18825.5	9502.37	6939.41	7755.57	8061.92	8124.55	8109.66	9188.64	9047.73
