Genes	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_AST_RAWdata\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_GSC_RAWdata\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MAC_RAWdata\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\2_SCP_MIC_RAWdata\Normoxia_MIC_50cell_S2-D10_1_8450.d
PDCD6	3	3	12533.1	13186.2	21304.9	14819.8	3443.36	6630.74	2701.68	2635.35	18141.1	26249.6	22861.8	20146.1	17600.1	21495	21181.5	17207.3
PDCD6IP	42	42	51897.9	51689	54743.3	58152.1	50386.2	45720.8	46524.3	43828.4	77804.4	82141.7	79048.6	76752.4	51504.7	51968.7	60924.6	57440.9
PDCL	4	4	3231.43	3138.67	3421.87	2756.82	3429.62	4216.36	3479.95	3035.88	3279.23	3827.96	3681.54	3241.18	2987.83	3397.61	4240.86	3435.97
PDCL3	6	6	7168.49	6021.82	5241.48	6267.04	5709.93	5107.53	4692.66	4559.56	7720.04	6696.55	6653.57	7923.76	6323.92	5567.56	6862.69	6351.58
PDE12	11	11	6785.81	5982.39	6250.27	6274.42	11478.2	9983.53	9875.54	8454.89	8058.66	8778.68	6866.28	8146.02	6620.52	7486.36	8736.8	8380.3
PDE1B	3	3									1417.86	1814.51	1525.67	1396.98	1283.74	1804.42	2212.19	1437.04
PDE1C	9	9	7726.42	5913.02	6412.95	8041.09	8600.57	7567.36	7066.78	6887.87								
PDE3A	2	2	371.548		490.842						683.995	710.595		752.022	768.091	1262.55	794.314	1334.59
PDE3B	2	2									1336.63	1236.83	1070.01	1160.77		1418.96	815.854	
PDE4D	3	3	2069.91	1999.24	1807.54	1451.43	3308.6	2803.06	2932.89	2777.15	1883.15	1833.13	2660.42	2766.48				
PDE4DIP	8	8	3591.23	3209.66	3267.5	4184.28	2518.42	2338.17	2461.44	2657.22	2284.68	2192.79	2294.24	2521.02	2922.31	2320.94	2181.65	3024.37
PDE5A	1	1	1151.93															
PDE6D	1	1	7960.76	6278.24	6860.93	8378.43	7826.54	5528.1	6180.7	6569.66	5316.04	5614	4788.02	4719.51	4778.78	3369.18	3876.84	3909.21
PDGFRA	2	2	2104.62	2253.93	2887.68	2469.6												
PDGFRB	14	14	6671.58	8200.47	9618.74	7872.88		942.139										
PDHA1	12	12	33962.5	33769.9	39112	27781	64122.6	48379.5	40412.6	38291.9	64885.2	48564	63511.1	66470.2	74571.2	46873.5	58444.4	61122
PDHB	8	8	25740.7	26122.8	26921.8	31926.4	51517.5	47516.1	39571.8	46996.2	50222.6	54121.5	46589.9	49484.9	54405.4	45846.3	56259	53969.4
PDHX	12	12	3472.11	3284.91	3824.28	3076.76	13289.3	12858.1	10741.2	10771.7	6557.49	6772.29	6057.6	6978.05	7187.55	6204.79	6735.69	6840.93
PDIA3	35	35	413149	435427	573532	457398	136413	152415	127633	135473	325102	375006	314581	311103	261430	296944	292257	281326
PDIA4	33	33	88279.1	96348.3	125939	118170	51784.2	51073	47919.1	49314.6	116713	162101	129629	114425	71065.6	81397.6	87646.7	73088.5
PDIA5	12	12	17794	18133.8	22315.9	23385	3332.79	3501.57	3579.59	2615.6	3172.99	3453.94	3797.96	2794.61	3794.65	3527.76	4072.8	3534.61
PDIA6	15	15	201805	212269	185071	237150	77175.1	74731.3	69540.7	72953.3	223311	243029	213936	228744	108741	129440	161365	133557
PDK1	3	3	2812.29	2956.47	2466.84	3207.57	2825.28	2072.2	2129.09			928.226	1841.05		1660.61	1038.42	1798.49	1661.16
PDK2	2	2	1369.77	1206.07	1271.92	1191.28	1355.49				2085.91	1937.24		1442.32	1919.41	1845.91	1479.5	1652.55
PDK3	7	7	3250.64	2078.06	1337.03	1718.72	5025.4	3417.25	3624.08	3561.3	5871.66	5845.74	6060.8	6312.03	3862.39	3161.86	3187.6	3522.03
PDLIM1	13	13	88592.5	81830.1	72920.9	79636.9	51865.5	53006.2	34563.3	29875.5			15306.7	5217.77	2813.68	1011.49	4143.54	5074.75
PDLIM2	6	6	30816.8	30513.3	22786.1	54368.9	7005.21	4695.7	4976.06	4747.91	12836.4	15595.9	12656.5	13940.3	7169.69	5014.01	7745.03	7497.64
PDLIM3	2	2	16550.9	23503.6	26333	23831.5	6235.16	7585.01	6067.77	5840.68			1481.39					
PDLIM4	7	7	54021.8	60185.6	41728.8	45492.9	42734	33478.2	46079.3	31294.8	6165.56	1654.46	7280.14	1979.73	21773.9	13043.3	26924.4	21621.2
PDLIM5	14	14	48754.7	51492	55543.9	57590.3	14373.3	14035.5	12318.8	10175	12686.1	10553.1	17321.6	11829.4	20628.7	16476.4	17085	21962.1
PDLIM7	9	9	245563	296581	257970	324022	75226	59266.6	64253.5	60043.9	6117.3	5621.44	22522.2	5163.69	52531.8	47999	57489.9	59605.9
PDP1	6	6	5280.88	7273.44	9678.43	5377.41	9546.37	9243.25	7174.77	7863.75	5872.34	8592.65	7969.37	6212.84	8821.72	9701.41	8458.74	8222.39
PDPK1	1	1									1218.66	1303.4	1264.21			633.984	626.231	1368.1
PDPN	1	1	684.415															
PDPR	12	12	8560.17	8421.45	9291.72	7865.07	6997.46	6899.03	5888.28	5047.12	9802.25	8274.24	9334.54	9490.7	10463.9	10302.2	9140.11	10571.6
PDRG1	5	5	5161.84	4953.37	6690.63	5290.17	2934.56	3281.72	3623.62	3769.79	3075.92	4080.87	5509.85	4365.35	2359.2	3114.01	2682.53	2771.17
PDS5A	25	25	4756.79	4470.38	5285.17	4972.94	9956.04	9550.71	8959.55	8585.75	7742.78	7551.88	6844.93	8003.28	6802.19	6168.77	6975.82	6599.76
PDS5B	28	28	3948.6	3382.46	3933.61	4240.21	6394.22	7138.68	6785.94	6393.9	3792.1	4606.7	4492.68	4585.9	3865.3	3995.76	4217.81	3696.16
PDSS1	2	2			688.643	823.701						1270.03	930.449			1074.54	817.137	1055.42
PDSS2	4	4	1577.27	1797.26	1796.87	1608.36	2582.71	2442.46	2516.44	2083.7	2304.75	2289.43	2270.69	1859.79	2446.56	2267.95	2117.79	2695.68
PDXDC1	13	13	17688	19917.2	20885.2	23671.1	11768.3	11892.8	12197.8	8521.08	16627.9	15426.2	16089.1	13490.7	12767.9	13496.9	13726.3	15640
PDXK	11	11	12277.6	13379.8	14668.6	14308.1	8526.91	7806.47	8942.85	9314.6	32416.6	41106.4	33800.4	38663.7	28083.1	24776.2	30702.8	32415.1
PDXP	5	5	3582.3	3829.49	3001.4	3986.81	4706.9	5588.31	4527.58	4709.4	5059.75	4692.39	4703.14	5601.71	2861.46	3261.44	3966.06	3677.02
PDZD11	2	2	2911.06	3969.58	3351.07	4046.9	5354.69	5689.49	4742.21	4306.34	1048.53	2112.69		1047.93		1154.24		1085.87
PDZD8	10	10	2850.21	2813.03	3151.28	3151.21	3006.07	2866.12	3081.64	2611.28		940.178	3554.25			1450.55	1700.04	2564.94
PEA15	8	8	62982.6	60507	112506	70165.4	21434.1	22507.7	26134.5	19443.1	38500.1	64040.7	48360.4	40761.6	60675.6	82977.1	66932.3	63054.6
PEAK1	11	11	3577.39	3889.8	3807.63	3350.97	2315.18	1526.27			1866.14	2430.77	2658.84					
PEBP1	8	8	59382.1	70086.3	74445.4	55474.4	56723.4	57756.1	58836.5	47332.7	170258	222308	216877	194514	84845.2	107754	97832	82949.1
PECAM1	9	9									12636.9	10803.2	11217.6	9648.41	8324.98	7159.05	7972.55	8499.7
PECR	3	3		668.631					1350.55		1204.66	1775.51	1866.28	1997.74	1600.08	1371.51	1432.91	1280.32
PEF1	4	4	3207.1	3829.45	3003.64	4577.52	8216.84	10066.8	8956.04	6915.24	6708.9	8784.49	4381.01	7227.92	6470	5416.58	7064.08	6940.97
PEG10	3	3	934.018	1014.3	998.732	365.32				2197.32						1163.24		
PELO	4	4	2064.58	1480.06	2782.18	2593.65	2451.12	1958.7	2346.12	1649.93	1451.05	1726.2	1140	1666.32	1537.83	1297.1	1379.07	1518.64
PELP1	9	9	11659.9	10603.5	15080.6	14327.6	9736.75	9747.84	10642.8	9091.76	8810.47	9346.62	8259.36	8501.78	9647.41	10188.8	10590.9	9374.69
PEPD	10	10	22123.3	24804	16676.8	25450.1	10322.5	10756.1	9677.55	8892.38	62078.9	53090.6	48498.3	66413.4	24039.9	22620.6	30751.2	27365.3
PES1	11	11	10526.9	9574.87	10857.9	9793.08	10375.5	10151	10835.1	8407.5	8693.35	8507.25	7775.8	8080.18	8863.11	9311	10169.1	10017.1
PET100	2	2	1347.18	1624.91	2737.12	1777.58	3248.2	2725.66	2505.57	2518.88	2584.07	6012.22	4909.3	4953.82	3209.66	4223.17	4340.59	4082.85
PET117	2	2						1129.19	1296.54	1090.27	1703.74	1211.78	1645.38	1639.9	1648.22	1232.76	1389.57	1331.37
PEX1	6	6	1930.76	1919.63	1947.28	1925.62	2716.96	2587.08	2927.04	2555.47	2854.61	2559.94	2109.15	2928.11	2793.12	2299.49	2746.01	2889.26
PEX11B	8	8	11372.4	11366	14566.6	13173.8	4096.58	4849.2	4718.75	4121.44	16825.7	18642	15801.9	16679.7	15195.2	14542.4	15284.9	12763
PEX12	1	1	563.846	549.835	785.319	500.91		658.762				443.05		581.101	492.786	469.183	615.092	344.403
PEX13	4	4	2360.35	2252.67	2542.51	2632.77		380.238	433.793	676.558	1327.13	1360.77	1566.76	1335.54	1518.02	1559.85	1376.74	1548.13
PEX14	4	4	3328.86	4695.78	3996.12	4807.54	5310.92	3882.49	4645.97	5219.32	5712	5781.34	5856.32	5302.1	6848.64	7965.44	7680.56	6907.13
PEX16	7	7	2429.53	2768.93	3617.34	2480.52	2824.41	2255.31	2703.6	2215.8	3206.31	3581.85	3692.09	3884.1	4595.99	4692.47	5315.56	4421.58
PEX19	7	7	3735.58	3332.95	2829.16	3432.92	3032.77	3290.77	2761.43	2813.43	3926.77	4174.63	3689.33	4357.08	4198.61	4584.82	4892.26	4840.48
PEX2	1	1	899.435	1107.67	958.759	1358.33		347.674				849.223		786.75	827.151	703.8	544.048	527.322
PEX26	1	1	860.865	1462.96	1907.41	1746.66		1293.53			1989.27	2413.53	1688.49	2141.03	1755.43	2290.72	2670.91	1726.4
PEX3	2	2		14355.6	23107.6	6100.65					16484.8	29169.6			38039.2	17736.7	29942.7	57122.7
PEX6	3	3				925.634	2036.72	2081.47	2478.93	2301.69		1180.72	1214.45	1287.09	1163.37	1068.57	1187.05	1473.42
PFAS	22	22	16902.5	18555.9	23354.5	20286.8	26984.6	25691.6	27788.4	24544.3	18480.1	22545.2	17037.4	18772.5	21174.2	23814.4	24237.7	22566
PFDN1	4	4	29019.5	33844.6	28648	38897.4	29115.6	28634.4	28506.9	28592.2	20983.9	21701.7	19069.8	18537.6	18570.3	17698.5	20072.2	20152.9
PFDN2	7	7	42673.5	48930.2	41337.3	56780.5	49977.9	55007.8	50328.2	46762.8	30222.4	33163.2	28530.3	31213	23481.4	29925.7	29039.1	28665.4
PFDN4	6	6	12133	14511.6	14912.7	14378.1	13235.3	14647.5	13071.3	14004.1	7551.16	8902.85	8219.17	9290.73	7438.05	7772.38	8761	8245.77
PFDN5	6	6	25739.5	24849.5	22239	22781.2	34664.6	28960.3	25180.6	23848.3	15086.7	13727.8	12457.1	14983.5	14694.7	15599.9	14910	15189.9
PFDN6	7	7	38320.2	34567.3	32091	35689.9	37379.7	34058.2	32778.4	29989.8	20181.6	20816.9	19096.4	20842	21140.3	18490.3	20729.7	19311.9
PFKFB2	12	12	2567.46	2805.34	3713.72	2392.63		1133.53			5074.3	6834.52	6508.73	6578.54	5637.7	5526.34	5291.38	5246.8
PFKFB3	3	3	1623.49	999.236	1890.84	1463.26	2373.59	2796.67	2220.21	2238.33	2145.29	1533.71	2495.69	1579.61	2415.3	1533.26	1571.52	2253.28
PFKFB4	7	7	3555.13	2252.19	2665.11	2526.7	3700.76	2693.4	1921.8	2501.73	3659.28	5297.94	5219.05	3782.17	7162.93	7369.79	7838.23	6609.62
PFKL	15	15	39762.6	41029.1	46462.2	41148.4	22241.1	18623.3	18532.8	16985.4	54031	68248.4	60073.1	63692.4	67492.9	64869.7	72820	65847.3
PFKM	14	14	14902.7	15233	15617.8	17889.2	13057.9	13994.9	12012.5	9587.92	12071.5	12666.2	12281.8	11973.6	8037.84	9156.53	9405.34	9451.16
PFKP	23	23	55250.3	65415	82682.1	73293.7	57528.5	69887.5	60901.6	48146.8	31958.3	37823.3	40655.8	39395.7	70586.9	74897.2	85764.8	88612.8
PFN1	8	8	720110	702757	676357	779632	604222	663219	451469	400950	853968	900934	928025	1.00604e+06	869943	763099	868750	960147
PFN2	4	4	86748.6	88535.6	80574.8	88192.3	44544.9	47982.1	38148.1	42299.9			1671.25			741.558		
PFN3	1	1	8086.21	8934.79	9864.4	8994.58	1450.49	2868.08	1814.82		17423.7	13143.8	16912.7	17213.2	16007.8	15505.6	14536.2	18984.1
PGAM1	2	2	3704.61	3871.38	9889.95	5813.33		1781.79		1153.72	7199.79	13185.6	11539.2	6985.49	7079.22	15673.1	17105.8	11365.5
PGAM5	11	11	45607.5	41859.2	44792.3	42074.5	91753.7	84906.5	92121.6	73587.6	65963.4	57802	56544.8	56550.2	72837	59974.4	66059.1	68330.5
PGAP1	4	4	2124.62	1774.99	1877.82	2536.34						432.875	747.788					
PGAP6	2	2				779.296					2690.67	3013.48	3332.96	2786.12		768.325	980.819	1108.38
PGBD5	4	4									3199.29	3151.68	2839.61	3193.95	2332.71	2589.75	2749.25	2602.6
PGD	17	17	88976.8	79186.5	69427.6	71581.6	215075	216767	182782	176471	221075	230257	196626	221813	234041	226447	273735	248254
PGGHG	4	4	9269.6	9026.77	6107.74	8432.96	2017.9	1963.6	1226.61	1418.24	2328.67	2267.47	2611.36		1277.69	992.908		1372.2
PGGT1B	7	7	1997.09	3671.31	4602.4	3437.4	2906.34	2481.99	2584.94	2654.77	3535.51	5952.68	5095.9	4267.44	5211.83	4938.25	4812.74	3837.1
PGK1	13	13	587058	606025	576427	661717	392956	554456	531319	464503	929783	1.18549e+06	1.02262e+06	1.03265e+06	782355	780189	877965	901904
PGLS	8	8	114745	120116	122324	127836	45607.7	52108.1	48601.5	46972.7	170028	194453	173818	166700	108230	103383	118612	112882
PGM1	24	24	50722.8	47066	44780.4	48473.2	24162.6	25132.5	17391.7	16733.4	10353.9	10040.9	14394.8	12031.8	11203	8502.71	9697.87	12031.7
PGM2	26	26	23346.7	22259.5	19817.3	21761.4	24358.1	22769.3	23915.4	17964.4	49048.9	52416.3	48496.9	51724.9	74783.7	78468.3	100022	91099.1
PGM2L1	10	10	37873.5	37182.6	42556.2	37240.3	30099.2	18935.9	15635.1	24167.2	15068.5	12530.6	17143.9	13843.6	17924	10852.8	12665.4	15111.5
PGM3	12	12	35834	39721.9	28491.4	41083.9	16781.2	15070.5	15474.3	13657.1	7263.94	6703.88	7031.91	7298.29	5741.57	5159.68	5381.47	5716.37
PGP	5	5	6938.56	6681.6	5427.13	7686.76	7348.43	7689.23	6960.03	6268.18	11879.2	11816.5	10422.7	12213.9	8691.11	8833.81	10115.5	9087.21
PGPEP1	2	2									1442.69	1785.2	2991.94		1623.81	989.248	1185.71	1777.08
PGRMC1	5	5	32847.5	37398.1	36872.2	42458.9	32860.8	27033.4	25457.3	28912.5	24505.8	21965.2	20665.7	22927.8	20006.7	16155.6	20552.8	20223
PGRMC2	6	6	44150.5	43163.3	47303.5	47480.1	25841.9	23109	24739	19073.5	24215	19019.6	23352.2	22255	13374.9	12032.9	15569.6	15613.7
PGS1	5	5	1486.93	1472.01	1475.09	1483.29	2222.65	1839.47	2041.69	1913.12	1475.62	1863.37	1458.54	1996.61	1304.81	1519.85	1471.54	1244.71
PHACTR2	4	4	647.135	504.486	671.946		427.991	430.663	601.998		955.154	665.148	911.527		729.68	790.872	870.45	1050.2
PHACTR4	5	5	2148.97	1468.93	1802.63	1627.77	1557.26	1086.48	1121.59	1293.98	1742.27	1714.73	2011.03	2290.85	1184.14	941.919	1067.52	1286.8
PHAX	4	4	5478.96	5482.69	4389.29	5533.66	6828.49	6933.36	7186.98	5637.44	4179.91	4380.49	4120.93	5117.59	4092.18	2911.45	3957.21	3805.01
PHB1	22	22	184900	198135	232012	233143	216565	241233	222867	228729	260915	313600	273845	264070	342418	341061	399760	346562
PHB2	16	16	108769	119672	131139	142893	100983	129747	122457	109980	161598	206581	174721	170657	194787	205860	231734	211862
PHC1	1	1		1733.41	1455.69							1309.8			2063.98	1751.68		1771.89
PHC2	2	2	2229.6	2021.06	2442.22	2266.92	4241.18	2942.29	3122.33	2947.09	2030.26	1903.8	2128.64	1849.96	1708.45	2075.17	2110.92	2015.07
PHC3	4	4	618.987	687.792	1038.2	1061.51	1304.75	1428.24	1075.67	1325	780.395	951.756		1554.79		812.228	617.093	447.227
PHF10	1	1					4257.18	2068.2	2244.86	1679.95								
PHF14	3	3	5966.89	4271.51	4773.87	4067.04	7935.89	7583.84	7281.9	7668.38	2406.75	3687.23	2347.43	3401.75	2682.3	2340.42	2320.46	2086.97
PHF2	5	5	2075.8	1839.82	2554.47	2052.05	3092.2	3188.4	3168.99	3379.51	1819.5	2088.01	2348.26	1811.39		1804.51		1023.99
PHF21A	4	4	2157.06	2181.23	2330.62	3095.87	2489.41	2430.54	2250.76	2053.86	1498.63	1078.84	1504.89	1148.11	1905.46	1136.75	1031.37	1669.72
PHF23	4	4	3559.95	3609.67	3434.62	4123.4	3664.64	3607.37	4113.25	3772.51	2117.31	2484.89	3199.45	3387.91	2631.31	2527.24	2484.35	2600
PHF3	8	8	2063.97	1592.31	1968.7	2166.85	2841.35	3162.74	3279.7	2460.35	2506.58	2421.91	2480.93	2057.89	2482.74	2479.13	2588.7	2747.84
PHF5A	2	2	3213.84	3688.37	2894.69	3647.08	7525.19	6682.89	5773.47	10403.6	8651.56	9069.5	4528.11	6386.79	10423.7	9657.23	12727.4	9987.16
PHF6	3	3	8659.34	5845.29	10239.8	6477.89	10782.2	15763.8	13201.1	12426.4	7417.45	6557.92	6208.49	7277.57	6129.74	6855.2	7102.67	6941.62
PHF8	5	5	1228.8	1518.77	1131.18	1223.47	3038.42	1994.64	2192.33	2289.94	1298.33	1205.5	1497.36	1550.21	1394.27	1199.74	1289.53	1256.59
PHGDH	11	11	342733	361384	384734	375147	159325	158211	137629	128513	22786.8	23845.9	20919.9	21090.7	55416.7	61899.9	69956.2	64668.2
PHIP	10	10	2637.02	2537.3	2839.01	3071.05	5203.19	5267.18	5088.91	5109.81	1894.56	2271.93	1954.13	2402.76	2144.68	1816.49	1976.21	1923.93
PHKA2	7	7	1246.84	1406.68	1773.21	1495.65	4085.56	1653.19	1782.17		3070.28	2331.81	3042.41	2870.23	1760.78	1200.07	1688.54	2171.79
PHKB	6	6	1768.07	1720.84	1692.4	1684.48	2273.01	1919.22	1910.7	1524.37	3376.87	3150.68	2862.44	3150.37	2418.6	1938.15	1857.22	2761.22
PHKG2	3	3	1234	1224.06	1302.32	1191.25	2147.18	1980.68	2270.64	2050.49	3319.14	3213.51	4106.43	2660.23	2461.63	2205.72	1915.49	2609.31
PHLDA2	1	1	5287.67	4861.65	6038.04	7079.53	5531.97	3955.18	4000.06	4752.93								
PHLDA3	2	2	5850.24	7623.17	4629.27	8494.42		1579.88								1391.93	1173.93	1467.03
PHLDB1	24	24	7414.19	7893.88	7647.2	9966.49	6214.65	6322.05	5221.02	4858.14		2585.34	1602.21	3538.58	1832.08	1817.55	1747.56	1792.18
PHLDB2	17	17	9632.14	10537.1	9888.21	11252.3	4509.32	3788.35	3905.91	3627.54			2452.29					
PHLPP2	1	1	1968.83				2690.44	2693.08	2697.27	2068.58								
PHPT1	2	2		4189.74	1541.24	10461		565.818	824.072	920.466		2054.71		774.643		1122.76	512.715	1192.94
PHRF1	3	3	3101.71	3276.29	4002.48	3661.34	4719.37	4015.19	3163.07	3554.55	2827.52	2110.94	2089.97	2272.72	3149.38	3341.17	2757.26	2641.81
PHYH	1	1									1118.33	1488.1	1016.46	1170.25			545.589	
PHYKPL	3	3	3371.01	2020.8				1535.52	5443.23	1159.78	4112.1	2794.03	2290.92	3670.25	2703.94	2123.47	2898.85	3069.2
PI4K2A	24	24	7001.36	7106.05	8130.44	7541.69	7829.99	7993.53	8112.91	8255.93	45692.7	46208.1	44019.9	48239.8	24098.7	17048.7	23699	20032.6
PI4K2B	2	2	1103.74	954.052	1775.84	975.617					3309.42	2751.46	1853.31	2645.62	1199.02	1111.69	1149.94	1238.4
PI4KA	22	22	5877.76	6803.09	6055.19	5871.28	6065.68	4817.37	4600.91	4429.12	9877.35	11332	10117.5	11473	7886.5	7656.96	8122.29	8040.12
PI4KB	9	9	3844.64	4082.21	3728.46	3734.02		2798.78	3766.9	3854.16	3975.46	4637.45	3335.1	3869.95	3306.53	3179.58	3961.71	3778.57
PIAS1	2	2	1512.86	1549.17	992.064	970.3	1828.32		1598.2	1021.06	951.918	1089.26	913.383	943.875	914.924	903.519	491.398	1031.04
PIAS2	1	1	1255.92	1123.58	1676.9	1450.63	1697.69	1593.83	1664.86	1912.44	1250.47	1253.63	1252.41	1773.82	942.705	973.496	814.939	1454.88
PIBF1	1	1		976.506		1086.61	1808.12	1111.91										
PICALM	10	10	16199.8	15187.4	15325.9	16017.4	14572.5	10539	11678.6	10233.8	18622.1	17041.5	18492.2	20118.9	14641	10618.2	14751.8	13674.8
PICK1	2	2				978.507		997.494			3137.62	2101.25	2863.41	2924.61	2519.25	1833.87	2531.54	2829.59
PIEZO1	7	7	1505.92	1725.77	1849.2	2047.43	1655.77	1252.69	1252.63	1776.47	543.012	758.846		695.126	847.445	694.716	784.192	718.524
PIGBOS1	1	1	2897.37	3033.68	3446.44	3727.2		2310.56	2267.26	2123.97	3660.12	4141.9	3941.89	4876.78	4999.44	4848.56	5317.05	4620.52
PIGG	7	7	3933.93	3593.79	4198.88	4253.66	954.511			951.872	3397.57	3170.08	3283.4	3111.48	2041.95	2665.22	3032.42	2888.98
PIGK	7	7	9562.4	8810.67	10365.5	9837.08	7472.35	7140.46	6413.36	6860.85	8778.49	10955.5	9074.5	8405.24	6360.57	8280.67	8355.04	7794.89
PIGM	1	1				2024.2		1081.19				1428.72				1575.79	1478.15	
PIGN	3	3	2321.08	1880.97	2419	1893.22	1799.71	1260.7	1427.12	1354.27	2558.7	2346.61	2175.15	2434.9	1688.69	1111.13	1213.16	1787.88
PIGO	5	5	4870.58	4276.12	4611.92	3853.62	3378.34	3179.36	2839.99	2803.03	4198.03	5658.35	5097.84	6177.65	4134.74	4606.58	4773.85	4970.05
PIGQ	1	1	240.486	586.099	838.744	468.623					1305.59	1164.66	773.817	820.87	689.619	538.882	564.551	874.083
PIGR	14	14	372075	46330.3	53491.7	5998.74	8418.99	7399.24	9240.19	7191.66	21236	26618.5	32863.8	50948.4	22089.9	32426.7	23345.7	19455.2
PIGS	10	10	11582.5	14014.5	16475.9	15601.5	8756.18	9635.76	7081.13	7675.97	11900.2	14249.6	10919.4	11755	9511.74	11311.5	10666.5	9716.03
PIGT	9	9	6962.89	6628.39	8074.61	7715.81	7514.43	5923.27	5635.43	5497.9	6387.81	6619.4	5880.47	5408.75	5159.55	5243.12	5528.63	4802.55
PIGU	3	3	7152.86	10216.1	11872.5	10749.4	6327.15	7296.23	5811.55	6186.4	8650.05	9260.63	7316.57	6408.6	5583.26	8286.71	7103.5	8139.09
PIH1D1	4	4	4074.1	3661.08	3220.6	4476.57	4176.28	4477.56	4335.11	4199.16	5394.82	4472.47	4936.54	4588.95	4980.96	4516.4	4537.19	4795.02
PIK3AP1	9	9									4857.12	5046.12	4423.48	4424.81	3660.2	3350.62	3876.35	4282.98
PIK3C2A	21	21	5290.93	5717.32	5930.13	5711.96	6268.98	5945.82	5440.29	5332.63	3625.16	3700.58	4262.26	3990.12	2809.9	2392.99	2871.78	2664.55
PIK3C2B	13	13	2345.35	2119.08	1997.24	2093.11					4253.79	5227.87	4175.02	5307	2511.25	1908.74	2290.21	2955.41
PIK3C3	9	9	6802.45	7174.27	7725.05	8423.26	5561.85	6661.98	5782.99	5985.78	8188.2	7914.47	8483.66	8671.94	6231.14	6787.53	7199.19	7743.51
PIK3CA	6	6	1577.35	1524.83	1558.4	1766.55	1460.58	1477.7	1345.25	1807.02	1492.53	1731.79	1574.89	1615.16	1413.67	1077.17	733.602	1282.4
PIK3CB	6	6	1622.76	1083.45	2016.91		7419.03	1455.79	1907.49	1338.95	2253.62	2104.73	2010.34	2068.46	1860.08	1440.11	1853.77	1810.15
PIK3CD	16	16	1435.37	2159.13	1373.2	1854.31	3184.92	2833.86	3378.98	2948.75	10806.4	12189.4	10555	11172	9076.67	8671.59	8707.74	9914.68
PIK3CG	17	17									8207.3	8672.78	8754.61	9674.66	7512.8	7662.68	7639.01	8058.68
PIK3IP1	1	1		495.238		274.613					1090.77	990.49	1594.45	1584.13		164.277		
PIK3R1	16	16	2634.75	2392.04	3979.29	2271.66	3937.18	3177.41	2950.13	3440.61	10193.9	9087.83	8640.68	9567.25	7794.39	6215.83	6515.55	7640.75
PIK3R2	3	3	2061.53	1983.04	2252.48	2463.89	2282.88	2551.9	2187.41	1616.75		1250.88		1582.88	1747.85	1551.97	1487.81	1944.78
PIK3R4	20	20	4581.96	3773.1	4252.42	3950.01	4710.27	3937.82	4678.29	3938.94	5554.76	5545.22	5575.8	6124.51	4755.07	4576.21	4692.61	4497.08
PIK3R5	11	11									2683.79	2836.48	2708.68	2910.98	1566.22	1873.35	1628.49	1867.02
PIK3R6	1	1									2554.38						2279.3	2286.14
PIKFYVE	10	10	2074.02	1378.9	2166.77	1684.73	1703.36	1415.06	1645.88	2545.07	2590.44	2829.26	2500.81	3050.53	2228.85	1403.68	2085.86	2573.54
