Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-A2_1_12107.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-B2_1_12108.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-C2_1_12109.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-D2_1_12110.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-E2_1_12111.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-F2_1_12112.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-G2_1_12113.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleA_1ng_S1-H2_1_12114.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-A6_1_12115.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-B6_1_12116.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-C6_1_12117.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-D6_1_12118.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-E6_1_12119.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-F6_1_12120.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-G6_1_12121.d	D:\RawData\ULT0101_20250728_DIA_ThreeSpecies_Rerun\DIA_SampleB_1ng_S1-H6_1_12122.d
P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	17	14	371544	342822	358814	385283	370607	370703	361992	366680	358786	352214	353155	360748	370721	364251	364896	381019
P26637	SYLC_YEAST	CDC60	Leucine--tRNA ligase, cytoplasmic	30	29	45646.7	44426.6	45568.4	46213.8	45068.6	47016.9	46158.9	45757.5	21140.1	22119.1	22720.8	22585.7	22748.8	21626.4	21423.9	20401.3
P26639	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	24	24	74712.9	75944	67768.5	67712.2	67101.3	74408.9	73194	73234.2	80366	81088.9	81465.4	77659.5	78495.1	79704.3	76267.9	70927.1
P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	36	36	75733.4	77106.8	78069.5	75871.2	76630.4	76989.6	79136.4	78996.1	79319.1	76847.2	76200.6	76514.8	75378.3	77101.9	78031.6	77721.3
P26641	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	14	14	188039	184649	187835	191446	179013	185109	181374	195162	190761	196399	188094	182696	190512	195485	186626	194992
P26783	RS5_YEAST	RPS5	Small ribosomal subunit protein uS7	11	11	117485	125124	107141	110685	116573	110493	114540	113946	58841.4	55580.6	61856.4	58569.2	57767.7	54325	53907.4	49441.8
P26784	RL16A_YEAST	RPL16A	Large ribosomal subunit protein uL13A	14	9	157926	167135	167224	190180	165604	174925	176495	170632	72386	88918.5	82171.9	80640.5	86572.2	81162.2	85968	78828.7
P26785	RL16B_YEAST	RPL16B	Large ribosomal subunit protein uL13B	8	8	91471.8	102930	113053	99652	113422	105746	110386	121657	48901.2	47087.1	45411.6	51886.6	47980.8	53251.3	51421.3	53198
P26786	RS7A_YEAST	RPS7A	Small ribosomal subunit protein eS7A	12	7	278264	244900	260856	255802	266449	261331	257303	252384	113256	108862	112498	112754	108020	109792	119456	117411
P26793	FEN1_YEAST	RAD27	Flap endonuclease 1	1	1		1635.64			1630.89											
P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	3	3	16829.5	21589.5	20430.9	20262.7	17163.5	19544	18994.5	20147.5	17897.8	19133.2	18265	18073.1	17258.5	17446.2	19935.3	17760.2
P27105	STOM_HUMAN	STOM	Stomatin	6	6	6974.95	7214.81	8296.26	8142.02	7683.51	6904.43	8058.33	8755.1	8157.94	8426.26	8201.29	8918.57	7005.05	7095.39	7369.36	8534.64
P27144	KAD4_HUMAN	AK4	Adenylate kinase 4, mitochondrial	9	9	13124.6	14644.8	15242.6	15333.1	15875.6	12828.3	14499.4	13852.5	15809.1	14514.2	15427	16514.2	16011.4	16118.4	14463	16914.4
P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	9	8	169302	172790	174074	156401	170192	160759	173048	178215	183299	182628	177193	180463	172996	177161	176102	170251
P27361	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3	5	5	10899	11419.5	11984.6	11837	12407.6	9101.45	9514.29	9918.44	10067.2	11020.6	8562.98	10793.8	10302.7	10178.7	10688.8	12141.3
P27466	KCC1_YEAST	CMK1	Calcium/calmodulin-dependent protein kinase I	4	4	2952.45	3413.64	4026.35	3121.12	3383.3	3764.38	3569.23	3374.43	2055.56		2209.29	1796.62		1772.56	2466.93	2066.01
P27472	GYS2_YEAST	GSY2	Glycogen [starch] synthase isoform 2	8	5	14921	18462.9	16769.3	14174.6	17333.4	15453	17098.6	18039.4	8198.18	9367.88	7868.66	8601.15	9010.96	8636.28	8004.16	8079.28
P27476	NSR1_YEAST	NSR1	Nuclear localization sequence-binding protein	5	5	17673.3	16692.8	17103.7	19472.7	22221.6	18794.9	21527	18025.5	8398.66	10531.5	9534.74	10196.9	12603.1	10768.5	11661.8	12013.4
P27514	PHO91_YEAST	PHO91	Low-affinity phosphate transporter PHO91	2	2	5664.71	4133.64	4451.5	3686.22	4666.48	4675.17	4365.84	4469.69	2467.26	2976.21		3127.09	1699	1816.66		
P27540	ARNT_HUMAN	ARNT	Aryl hydrocarbon receptor nuclear translocator	2	2	3723.72	2655.96	3615.87	2932.85		2535.27	4450.94	4069.29	2783.49	4406.57	3332.85	2264.23	2637.55	2884.94	3382.42	3007.96
P27614	CBPS_YEAST	CPS1	Carboxypeptidase S	10	10	38209.7	35624.2	35748.3	38878.8	36135.3	37460.9	34614.4	36958.1	16795.2	16414.3	17112.6	16006.3	18518.4	16872	17578.8	19165.4
P27616	PUR7_YEAST	ADE1	Phosphoribosylaminoimidazole-succinocarboxamide synthase	14	14	37398.2	36992	38922.6	37077.3	37188.9	38406.6	36737.9	36923.1	16705.9	18154.4	16947.7	18193.8	17363.9	16148.2	16951.8	18031.1
P27635	RL10_HUMAN	RPL10	Large ribosomal subunit protein uL16	13	7	179190	175923	166440	186896	179545	190740	188565	191349	189265	180451	185175	187176	193507	182809	192394	185376
P27692	SPT5_YEAST	SPT5	Transcription elongation factor SPT5	18	18	24831.7	26918.1	26569.3	31349.8	26050.8	24290.2	26747.5	24137.8	15032.6	13703.8	15697.8	13199.9	12353.9	14417.6	15030.3	13660.3
P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	16	16	29630.7	29767.2	28969.6	28087.2	30575.9	30238.9	30525.4	29338.4	29528.5	28882.7	29310.5	27767.5	28931	29263.6	29422.9	28213.2
P27695	APEX1_HUMAN	APEX1	DNA repair nuclease/redox regulator APEX1	12	12	78424.4	74011.3	73629.1	76480.5	72506.6	72927.2	74363.4	68366.8	71195.8	65109.1	67189.1	70030.8	70620.8	66655.9	71198.5	68980.2
P27707	DCK_HUMAN	DCK	Deoxycytidine kinase	4	4	13397.8	12945.5	14411.8	12890.5	13782.9	12283	12113.5	11668.9	13168.6	14346.1	10900.6	11418.4	13032.2	13956.3	8921.09	13030.1
P27708	PYR1_HUMAN	CAD	Multifunctional protein CAD	41	39	309098	313698	307467	304562	303374	313173	309071	325393	316213	298597	297065	298151	317530	310858	295306	306869
P27797	CALR_HUMAN	CALR	Calreticulin	17	17	359887	365399	357509	370240	371406	391981	382560	378743	351499	342384	350868	347881	373002	360794	373311	368982
P27809	KRE2_YEAST	KRE2	Glycolipid 2-alpha-mannosyltransferase	4	4	17955.8	18750.5	18023.1	16437.6	19120.9	17004.8	19963.6	18546.3	9943.3	9529.53	7867.18	8949.27	9140.64	7659.5	7159.22	10426.4
P27810	KTR1_YEAST	KTR1	Alpha-1,2 mannosyltransferase KTR1	3	3	17325.5	17370.9	16108.3	16121.7	19064.4	15401	16461.4	15460	9443.38	10244.3	10271.2	10417.2	9707.89	11493.8	8980.41	11594.1
P27816	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	33	33	74955.9	76088.9	74611.2	72671.7	74387	76952.6	76600.8	72997.5	74617.1	72242.7	73129.4	71007.6	71933.4	70711.6	72110.5	71303.8
P27824	CALX_HUMAN	CANX	Calnexin	15	15	37049.6	34358.2	31756.8	29074	31429.5	32889.8	32113.4	34978.5	36066.3	32485.5	33563.8	33449.4	34842.1	34598	34044.8	33176.3
P28000	RPAC2_YEAST	RPC19	DNA-directed RNA polymerases I and III subunit RPAC2	2	2	2886.73		3377	3837.3	3568.78	3664.48	1924.17	4779.35	1763.59	2165.88		1357.16	1710.13		1975.05	
P28007	GAR1_YEAST	GAR1	H/ACA ribonucleoprotein complex subunit GAR1	1	1	13910.3	12793.9	11302	12385.8	11369.7	10534.7	11441.6	11373.9	5493.17	6714.89	6485.47	7012.38				5372.85
P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	8	8	172631	161386	182293	173940	170529	167507	175862	170796	165444	164744	152961	159625	163424	162183	168852	168863
P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	6	6	62254.5	63684.6	53746.1	61764.3	57691.4	63494.1	63729.5	68643.8	64773.3	68029.5	61035	59190.8	60195.3	60567.5	62636.4	59794.1
P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	6	6	94981.5	80560	89779.7	91717.5	92202.6	90131	94381.5	99096.6	91621.4	87185.7	89028.1	87715.4	96077.3	90595	95249.5	98410.5
P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	13	12	39327.5	35912.5	38445.8	39932.8	37864	39793.6	40128.9	34603.3	36452.8	36600.4	37536.1	34981.2	38834.5	36820.8	38588.1	40823
P28161;P46439	GSTM2_HUMAN;GSTM5_HUMAN	GSTM2;GSTM5	Glutathione S-transferase Mu 2	1	0	4541.3	7080.22		6559.74	7979.85	6378.34	6326.66	5096.08	8115.62	6373.53	7404.57	5564.5		7198.19	6102.93	5807.9
P28241	IDH2_YEAST	IDH2	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial	11	11	170712	166719	173653	175011	173338	165406	162943	162030	73873.2	73804.9	69043.7	72941.7	76997.2	76283.7	71846.2	82681.3
P28272	PYRD_YEAST	URA1	Dihydroorotate dehydrogenase (fumarate)	6	6	98455	92551.4	103760	104876	109463	100939	101677	104789	42083.6	44763.1	46140.5	44297.7	45750.2	44605.2	46992.5	44837.3
P28273	OPLA_YEAST	OXP1	5-oxoprolinase	2	2	3946.56	3686.47		3131.78	2801.76	1992.54	1829.46	2625.47		1106.44	911.527		1541.32			854.409
P28274	URA7_YEAST	URA7	CTP synthase 1	10	9	12615	12355.2	12736.3	13189.1	11144	11896.8	12338.4	11971	6782.13	5708.6	6479.6	7097.62	5777.52	6432.11	5996.31	6668.06
P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	2	2	4160.05	3633.69	2800.56	4090.39	3428.74	2239.61	3534.19	2958.29	3827.57	2101.97	2791.3	2481.63	3274.41	2626.42	2735.75	4078.25
P28289	TMOD1_HUMAN	TMOD1	Tropomodulin-1	10	9	13100.8	13239.6	12495	12670.9	12938	13068.8	12701.2	13753.8	12624.5	12710.4	12936.1	12478	11541.7	13242.7	13587.9	12737.8
P28321	MGLL_YEAST	YJU3	Monoglyceride lipase	2	2	16340.6	13456.3	12203.3	11781.2	8969.8	13372.1	12134.3	11736.8		9924.92	8410.76	6921.93	7723.13	8128.24	7538.2	3446.42
P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	25	25	18176.5	17639.3	17584.7	17225.1	16968.3	17530.6	18432.1	18347.9	18421.8	18330.9	17964.5	16397.1	18836.2	17794.7	17657.9	17905.7
P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	20	20	26039.1	24399.8	25200.7	25849.5	24398.1	27338.2	23319.9	25986	24941.1	23308.8	21590.6	24539.8	24630.2	24806.8	23680.4	24826.9
P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	22	14	76234.9	75196.5	72843	82763.1	74064.4	74286.2	79644.2	77828.4	76663.7	74134.7	76115.2	75338.3	79396.4	76795.1	73811.1	75899.9
P28495	CAPZA_YEAST	CAP1	F-actin-capping protein subunit alpha	4	4	22387.7	22744.3	26216.4	25656.3	21228.2	25612.2	25065.6	26409.1	11158	12762.8	11218.9	10561	10713.5	10558.9	12189.8	11556.7
P28496	LAC1_YEAST	LAC1	Ceramide synthase LAC1	1	1	5136.86	4278.25	3550.56					4452.65	1998.86			3381.39			2867.05	2911.73
P28625	YIM1_YEAST	YIM1	Protein YIM1	2	2	4451.16	8077.62	6536.83	8146.14	4352.25	7130.01	7421.8	8682.58	3448.7	3514.07	4185.4	3350.44	3251.4	3151.95	3611.49	3726.07
P28707	SBA1_YEAST	SBA1	Co-chaperone protein SBA1	4	4	67725.3	69785.2	68397.7	68414.1	71035.4	81012.7	75569.7	72947.7	31475.4	30365.5	33110.5	28252.7	32897.4	30984.9	32132.9	29001.8
P28715	ERCC5_HUMAN	ERCC5	DNA excision repair protein ERCC-5	2	2		1392.99		2710.11	1560.53	2167.63	1787.38	812.587	1149.63	2333.88		3419.68	2553.77	1634.36		2671.77
P28777	AROC_YEAST	ARO2	Chorismate synthase ARO2	8	8	21177.3	22807.7	20417.9	25419	21799.9	21886.4	22695.8	24572.9	10355.3	11635.1	10529.3	11718.6	11796.2	11404.4	10619.9	10299.1
P28789	HEM3_YEAST	HEM3	Porphobilinogen deaminase	1	1	5225.3	4118.27	4063.76			5215.08	4850.31	4217.37					3442.47			3437.52
P28834	IDH1_YEAST	IDH1	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial	10	10	86621.5	92708.1	86186	95103	97360.4	96704.7	89683.6	98752	41516.7	47749.7	43283.6	44368.6	41798.7	41693.5	42596.4	46484.8
P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	27	27	57936.3	60297	55765.4	58331.7	59358.9	59794.5	62282.3	62342	62250.8	59784.3	58454.6	60318.1	61142.1	60806.4	60465.9	57998.4
P28908	TNR8_HUMAN	TNFRSF8	Tumor necrosis factor receptor superfamily member 8	2	2		4257.23	3922.54	2870.68			3413.35		2801.67	3470.68	3167.04	2966.5	2713.79	3049.85		3571.8
P29083	T2EA_HUMAN	GTF2E1	General transcription factor IIE subunit 1	7	7	22276.8	19178.9	20187.4	20814.3	21666.9	20940.5	21157	25382.4	21975.6	21440.4	20075.8	22233.5	21953.6	22069.7	22103.5	22635.6
P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta	7	7	8072.7	7800.22	8036.13	8784.27	7578.7	7708.57	6627.31	7753.79	7282.68	7397.53	7337.46	6239.76	7739.49	7699.39	6507.29	7624.59
P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	26	26	19962.2	19543.4	19335.9	20287.4	20229.6	19872.4	19167.4	20418.8	19129.2	17596.6	18061.4	19141.8	19314	19112.1	18355.3	19858.7
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	10	10	15804.5	15347.4	15193.5	16148.2	17467.3	14677.8	15732.8	16993.6	15466.8	13799.8	15017.5	16594.5	17598.1	14993.9	14988.7	17052
P29311	BMH1_YEAST	BMH1	Protein BMH1	15	6	150646	159292	158290	154386	160169	161141	158412	162077	75293.1	76640	75961.5	74759	74538	74970.2	78455.8	80788.1
P29353	SHC1_HUMAN	SHC1	SHC-transforming protein 1	4	3	7406.41	6887.03	8694.72	8923.86	11340.1	7625.14	9152.79	8567.01	7384.8	8865.62	9194.02	7028.09	7720.39	8992.51	7910.02	9450.02
P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase	5	5	14020.2	14809.3	11719.9	11718.4	12983.9	12169.6	12680.1	13423	11147.6	11880.6	10664	13395.3	10611.8	12059.1	11381.3	9093.22
P29401	TKT_HUMAN	TKT	Transketolase	30	30	125671	118271	116537	121891	115633	119352	107757	105099	119419	112929	117966	108263	118177	118261	120467	115312
P29453	RL8B_YEAST	RPL8B	Large ribosomal subunit protein eL8B	4	4	83491.1	88840.5	98815.2	98981.6	104250	98961.6	93076.6	100602	45552.3	50494	45469.9	45155.7	49103.3	42587.8	44510	47582.7
P29478	SEC65_YEAST	SEC65	Signal recognition particle subunit SEC65	3	3	13351.8	14195.4	13125.2	16059.9	16681.6	13748.2	16762.3	18595	9577.51	10573.9	8208.63	9438.12		8073.42	7818.22	8272.56
P29509	TRXB1_YEAST	TRR1	Thioredoxin reductase 1	11	9	70602.3	72729.9	72143.4	71498	69872.3	74239.1	78910.3	74682.1	34852.6	33975.7	34953.5	33888.2	33010	33412.4	35814.5	35595.9
P29547	EF1G1_YEAST	CAM1	Elongation factor 1-gamma 1	9	9	146953	142125	139487	144070	136010	143073	142366	146754	65081.4	63957	65330	64805.1	73771.6	63933	69542.1	68533
P29590	PML_HUMAN	PML	Protein PML	7	7	13525	11239.9	11974.9	12093.1	11690.3	12345.8	9855.4	10557.9	11479.8	11923.8	11621.3	10960.6	11464.7	9833.34	11880.9	13435.1
P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	19	17	207421	219944	217679	202182	220421	211400	213702	226480	211642	214401	210577	208345	202458	213120	197592	201040
P29704	ERG9_YEAST	ERG9	Squalene synthase ERG9	8	8	21024	21023.1	21104.3	21816.6	22554.7	22066	20727.9	20804.9	11742.5	12472.7	10447.6	9736.28	11554.6	11438.4	9942.99	11466.5
P29952	MPI_YEAST	PMI40	Mannose-6-phosphate isomerase	6	6	25914.6	24959.9	26164.4	26547.2	26570.9	22959.5	23682	25845.4	12869.3	13998.4	10433.4	12269.8	11915.1	11798	12744.9	12911.1
P30038	AL4A1_HUMAN	ALDH4A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	11	11	9924.06	9954.62	8697.02	9136.06	9132.22	8672.88	8810.69	9487.02	8334.89	9371.21	9057.02	7335.15	8119.32	8338.42	8282.73	9251.25
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	13	13	70510.6	67201.7	68184.4	62180.9	66286.9	65641.3	64116.6	66381.6	65466	69678.7	64702.1	67885.8	66529.1	69754.7	63569.1	68567.5
P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	17	17	258909	255597	230126	254023	235217	248018	257244	248583	247452	246462	246792	250615	255102	240395	258018	248491
P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	8	8	93089.1	89180.9	87261.2	92695.8	86112	91174.8	100150	93520.4	93269.4	89391.3	89352.9	89373	93365.4	85223.5	94684.9	94357.4
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	10	10	39091.3	36220.7	41387	38717.9	42707.5	39429.1	37493.8	39419.8	40641.9	37678.8	39661.1	38423.7	39852.7	41460.7	40243.7	38894.8
P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	5	2	39778.3	42338.8	39493.1	43653.7	38745.5	40517.5	39192.6	45443.8	43423.7	44934.3	44539.7	42021.3	37008.4	41025.6	44133.4	38260.8
P30047	GFRP_HUMAN	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein	1	1		1979.03	4285.53	2900.07	3928.68	4920.31	3958.83	3660.14				3493.3				
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	8	8	95740.6	92454.1	95252.4	94739.6	91302.2	93202.6	85656	93820.5	91534.2	97739.5	90033.7	85959.4	81535.2	89265.6	85897.5	88732.1
P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	2	2	161015	159380	168934	152353	168687	147494	155336	154736	153603	153621	156055	144632	146169	147153	149111	144377
P30050	RL12_HUMAN	RPL12	Large ribosomal subunit protein uL11	9	7	564969	556683	586890	632011	621987	578498	554439	602277	442438	475723	501515	526067	523426	469128	503125	545554
P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	12	12	60758.5	51382	54030	57833.8	48741.9	58125.2	55275.4	53620.8	51555.4	54058.7	52846.4	50348.4	56302	50032.4	57004.7	55077.6
P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	13	12	71840.7	71254.9	69705.7	79335.3	79594	76017	72597.1	74765.3	72173.7	72302.5	69036.3	74034.1	71986.7	71086.6	69466.5	72770.6
P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	7	7	252683	235063	232677	236466	233714	222030	218128	224316	237099	229388	230945	224165	221906	217628	232652	229257
P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	33	32	157718	147963	152870	168909	155407	152629	155620	151042	153074	149050	155446	150676	158922	156181	157599	161131
P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	31	25	69176.4	70684.7	71429.8	68990.5	73003	70528.2	73326	73978.1	71223.3	72452.8	70499.1	69553.7	72482.1	72985.9	71986.9	71284.2
P30154	2AAB_HUMAN	PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	13	13	18091.1	18816.5	17126.4	18423.2	19941.8	17956	20250.2	18848.8	19014.4	18138.6	19605.1	18022.5	18237.5	18151.2	19701.9	19660.9
P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	10	10	15194.1	14936.9	15716.2	14838.2	14680.8	14238.6	13124.8	12733.2	15023.5	12760.9	13741.2	12872.4	15674.1	14479.6	14128.3	15190.5
P30291	WEE1_HUMAN	WEE1	Wee1-like protein kinase	1	1		1407.06	1128.56	1720.2	884.744	856.625		1773.25		1376.32	937.845	1261.89	1023.4	1242.67	1599.27	1219.33
P30307	MPIP3_HUMAN	CDC25C	M-phase inducer phosphatase 3	1	1	4424.77	3580.48	3891.01								4391.07	3796.98	2522.57		3702.93	2672.96
P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	5	5	36149.2	36870.5	38920.1	46219.6	39449.8	38449.2	29862.8	30951.8	34199.6	37522.3	36789.4	35122.8	40087.5	33734.8	34505.8	41876.2
P30414	NKTR_HUMAN	NKTR	NK-tumor recognition protein	5	5	5171.61	6049.91	4496.65	6590.54	7522.87	5659.77	6532.47	5557.43	5992.15	5225.48	6300.09	5461.45	5673.24	6342.42	4994.82	5649.33
P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	10	9	37868.1	38561.8	38329.4	37283.8	41160.2	42706	40054.3	40052.4	41480.2	40634.3	45020.8	43476.9	40960	43972.4	44422.7	42689.9
P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	3	3	12888.8	12772.7	9659.99	8754.64	8839.45	11011.5	13582	12297.3	10667.2	15263.8	13456	18133.4	11268.2	13906.8	13521.3	8384.44
P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	15	13	27564.3	28210.2	27993.8	28298.4	27940.6	28983.1	28783.7	29048.2	28947.8	28488.4	27519	28681	27197.8	29833.3	26687.7	26222
P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	8	8	10528.5	10511.3	10382.1	11328.2	10834.8	9890.14	10403.3	11324.4	10939.3	11433.9	9786.9	10078.3	10457.9	11526.3	11242.2	10840.1
P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	9	9	25999.4	24030.1	24608	22855.2	23735.8	23221.6	24850.2	25537.4	25816.1	25408.8	26299.7	23663	25195.1	24837.1	24837	24498.9
P30613	KPYR_HUMAN	PKLR	Pyruvate kinase PKLR	21	21	30794.8	31659.8	34098.2	35888.3	33117.7	33576.4	32388.2	32059.1	31220.1	32286.4	31967.9	31214.7	31730.8	30376.3	32938	34224.5
P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	19	19	12194.6	11582.7	12490.8	12608.5	13420.1	10529.3	12180	12412.9	13349.3	11392	12099.4	11663.4	10868.1	11596.2	10933.8	12515
P30624	LCF1_YEAST	FAA1	Long-chain-fatty-acid--CoA ligase 1	22	22	37161.9	36749.6	37704.7	37588.4	36569.6	37525.5	36992.6	38560.9	17943.6	18773.2	18077.2	18041.8	18439.8	18479.6	17976.5	19359.8
P30626	SORCN_HUMAN	SRI	Sorcin	10	10	40109.3	39689.5	41145.1	40321.9	40451.7	39100.4	41252.6	44366.6	41886.3	43850.2	43029.2	42727.1	40424.2	46478.6	45555.8	40192.7
P30656	PSB5_YEAST	PRE2	Proteasome subunit beta type-5	4	4	19185.5	15872.1	19187.6	18844.7	20424	16407.2	17397.1	17515.4	8191.02	10264.6	8941.83	8954.68	8900.55	9016.83	8575.28	10013.7
P30657	PSB7_YEAST	PRE4	Proteasome subunit beta type-7	4	4	17587.4	18603.4	18844.3	17638.6	17445.8	16231.8	21276	19156.3	8592.8	10084.3	9073.5	9661.03	8693.08	8332.85	12980.7	10474.3
P30665	MCM4_YEAST	MCM4	DNA replication licensing factor MCM4	2	2	7171.15	6971.92	8875	6952.41	7725.89	7661.35	8484.38	7529.96	9597.93	7048.01	11406.5	7794.13	7468.36	8880.45	10480.7	11020.4
P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	17	16	26381.1	24803.7	29057.3	27167.3	28977.4	26239	26785.3	27216.9	26173.3	26078.6	25245.6	25165	26198.6	25427.9	25283.9	26337.3
P30822	XPO1_YEAST	CRM1	Exportin-1	13	13	18744.7	18366.7	19224.1	17657.7	18180.1	17815.2	18053	19005.8	11505.5	12251.2	10442.5	9146.16	11110.2	10294.9	10454.6	9649.53
P30825	CTR1_HUMAN	SLC7A1	High affinity cationic amino acid transporter 1	1	1		3176.06	1800.9		1728.65	2244.93	2551.4		1897.82	1869.18	2262.96	1914.96	2614.49			1853.71
P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	12	12	15231.1	13553.9	15277.6	14101.5	14567.7	13771.5	14639	12329.7	14206.9	14994.1	14321.1	13825.9	14440.2	13677.6	14272.3	13752
P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	17	15	18134.2	19877	18860.3	20850.2	18796.9	20795.1	19012.5	21167.9	19013.9	19977.8	19295	18792.9	20670.6	21853.8	20332.3	18750.7
P31040	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	17	15	29750.3	28593.6	31408.4	29167.6	30108.3	28876.5	27750	28706.5	29419.6	29164	28775.2	27642.7	27889.3	28797.3	28126.6	29401.3
P31109	SNC1_YEAST	SNC1	Synaptobrevin homolog 1	2	2	4089.55	8015.62	6399.33	8476.09	10740.3	8827.32	8670.98	6398	4687.77		4347.55	2451.2	3065.81	3653.77	2774.5	4467.97
P31116	DHOM_YEAST	HOM6	Homoserine dehydrogenase	17	17	115055	114688	112502	108211	112178	109938	106385	109226	50991.2	51120.4	51537.6	47459.7	48739.9	50151	48788.8	50314.4
